"","LINKS","TITULO","TIPO","VISITAS","ME_GUSTA","NO_ME_GUSTA"
"1","http://www.xvideos.com/video43923811/lesbian","lesbian","4","92900","291","104"
"2","http://www.xvideos.com/video42866345/petite_lesbian_scissors","Petite lesbian scissors","4","17900","40","25"
"3","http://www.xvideos.com/video13417067/lesbian_desires_1734","Lesbian desires 1734","4","58500","80","35"
"4","http://www.xvideos.com/video8496579/oral_lesbian","Oral lesbian","4","891200","291","104"
"5","http://www.xvideos.com/video43422525/yoga_lesbian_teenagers","Yoga lesbian teenagers","4","78800","117","48"
"6","http://www.xvideos.com/video32589269/august_lesbian","August lesbian","4","814900","1300","594"
"7","http://www.xvideos.com/video41850755/lesbian_sex","Lesbian sex","4","132300","223","107"
"8","http://www.xvideos.com/video13398939/lesbian_encouters_0871","Lesbian encouters 0871","4","9200","13","4"
"9","http://www.xvideos.com/video36071823/lesbian","lesbian","4","1800000","3100","1000"
"10","http://www.xvideos.com/video26850639/lesbian_orgy","Lesbian Orgy","4","105800","110","66"
"11","http://www.xvideos.com/video13426243/lesbian_desires_1854","Lesbian desires 1854","4","9400","7","1"
"12","http://www.xvideos.com/video44043363/lesbian_stepmom_scissors","Lesbian stepmom scissors","4","4800","5","2"
"13","http://www.xvideos.com/video13392889/lesbian_encouters_0176","Lesbian encouters 0176","4","22800","21","13"
"14","http://www.xvideos.com/video33341713/lesbian_video","Lesbian video","4","302500","615","246"
"15","http://www.xvideos.com/video36022837/lesbian","lesbian","4","1100000","1600","646"
"16","http://www.xvideos.com/video23669330/lesbian_sorority_sluts","Lesbian Sorority Sluts","4","220400","199","103"
"17","http://www.xvideos.com/video26761139/lesbian_compilation","Lesbian compilation","4","123600","182","77"
"18","http://www.xvideos.com/video26166153/lesbian_squirt","lesbian squirt","4",NA,"30","23"
"19","http://www.xvideos.com/video42607287/THUMBNUM/teen_lesbian_threesome","Teen lesbian threesome","4","19000","25","8"
"20","http://www.xvideos.com/video31894115/guyanese_lesbian","Guyanese lesbian","4","235100","184","70"
"21","http://www.xvideos.com/video13425467/THUMBNUM/lesbian_fun_170","Lesbian fun 170","4","9000","2","2"
"22","http://www.xvideos.com/video313449/2_hot_lesbian","2 Hot Lesbian","4",NA,"167","80"
"23","http://www.xvideos.com/video11226741/lesbian_lovers","Lesbian lovers","4",NA,"386","144"
"24","http://www.xvideos.com/video29111173/lesbian_girls","LESBIAN GIRLS","4","533700","744","381"
"25","http://www.xvideos.com/video10740815/THUMBNUM/lesbian_1","Lesbian 1","4","3200","0","0"
"26","http://www.xvideos.com/video10736108/THUMBNUM/lesbian_5","Lesbian 5","4","3100","2","0"
"27","http://www.xvideos.com/video13419989/lesbian_desires_1779","Lesbian desires 1779","4","22500","15","11"
